sample_id,user_id,total_asset,cash_available,risk_preference,current_stock_position_value,action,market,stock_code,trade_time,volume_lot,volume_share,estimated_price,estimated_amount,volatility_20d,return_5d,abs_return_5d,avg_volume_20d,turnover_rate,estimated_amount_ratio,current_position_ratio,holding_ratio_after_trade,trade_volume_to_avg_volume,concentration_risk,volatility_risk,liquidity_risk,overall_risk_level,risk_preference_code,trade_hour
S000022,U0027,1686073.0,1200077.02,moderate,51878.47,buy,SZSE,093944,2026-01-05 09:54:00,236,23600,34.4802,813732.72,0.106819,-0.119924,0.119924,321429.94,0.066217,0.4826201,0.03076882,0.51338892,0.07342191,1,0,0,medium,1,9
S000023,U0070,202572.0,46675.3,moderate,12874.09,buy,SZSE,186816,2026-01-05 10:04:00,18,1800,25.1235,45222.3,0.277735,0.140353,0.140353,21237.6,0.054146,0.22324063,0.06355314,0.28679377,0.08475533,0,0,0,low,1,10
S000024,U0198,1864719.0,1090321.5,moderate,48237.96,buy,SZSE,491238,2026-01-05 10:18:00,345,34500,27.6102,952551.9,0.30925,-0.189973,0.189973,409467.56,0.002667,0.51082866,0.02586876,0.53669741,0.08425576,1,1,0,medium_high,1,10
S000025,U0157,617652.0,67382.46,moderate,15323.85,buy,SZSE,153410,2026-01-05 10:41:00,16,1600,33.7894,54063.04,0.264512,0.023552,0.023552,17898.81,0.064522,0.08752994,0.02480985,0.11233978,0.0893914,0,0,0,low,1,10
S000026,U0174,1599213.0,136889.56,aggressive,98527.46,buy,SZSE,446484,2026-01-05 11:27:00,22,2200,49.8178,109599.16,0.327752,-0.029092,0.029092,40425.01,0.086064,0.06853318,0.06160997,0.13014315,0.05442176,0,0,0,low,2,11
S000027,U0009,693867.0,473441.78,moderate,37835.87,buy,SZSE,099263,2026-01-05 11:01:00,592,59200,5.7865,342560.8,0.287917,0.000464,0.000464,802919.53,0.035986,0.49369807,0.05452899,0.54822706,0.07373093,1,0,0,medium,1,11
S000028,U0035,718320.0,69340.85,moderate,65328.15,buy,SSE,643245,2026-01-05 10:27:00,11,1100,53.4044,58744.84,0.323383,-0.063307,0.063307,13211.42,0.053914,0.08178088,0.09094575,0.17272663,0.08326132,0,0,0,low,1,10
S000029,U0163,255376.0,104564.32,moderate,32953.88,buy,SZSE,549291,2026-01-05 11:34:00,14,1400,62.7172,87804.08,0.279254,-0.11269,0.11269,43458.21,0.032928,0.34382276,0.12904061,0.47286337,0.03221486,1,0,0,medium,1,11
S000030,U0139,206762.0,45080.28,conservative,16368.52,buy,SZSE,868782,2026-01-05 10:47:00,4,400,79.4834,31793.36,0.390865,-0.115588,0.115588,19194.1,0.038507,0.15376791,0.07916602,0.23293392,0.02083973,1,1,0,medium_high,0,10
S000031,U0193,1527356.0,173353.68,moderate,184697.6,buy,SZSE,539437,2026-01-05 10:04:00,222,22200,6.4246,142626.12,0.579041,0.08409,0.08409,274303.25,0.026845,0.09338106,0.12092636,0.21430742,0.08093232,0,1,0,medium,1,10
S000032,U0066,1621088.0,84829.87,aggressive,91162.98,buy,SZSE,002024,2026-01-05 12:27:00,12,1200,60.7328,72879.36,0.423484,-0.1407,0.1407,14209.44,0.056413,0.04495707,0.05623568,0.10119274,0.08445093,0,1,0,medium,2,12
S000033,U0153,1802805.0,624198.05,moderate,45146.13,buy,SSE,660458,2026-01-05 11:00:00,57,5700,74.9571,427255.47,0.225503,-0.019103,0.019103,72391.74,0.042524,0.23699483,0.02504216,0.26203699,0.07873826,0,0,0,low,1,11
S000034,U0180,1198240.0,476291.53,moderate,125880.39,buy,SZSE,133895,2026-01-05 10:50:00,110,11000,38.4574,423031.4,0.167346,-0.107789,0.107789,54547.63,0.058525,0.35304396,0.1050544,0.45809837,0.20165863,1,0,1,medium_high,1,10
S000035,U0042,1705945.0,149570.34,moderate,183828.62,buy,SZSE,706027,2026-01-05 10:53:00,187,18700,5.7293,107137.91,0.267987,-0.080837,0.080837,601796.27,0.023787,0.06280268,0.10775765,0.17056032,0.03107364,0,0,0,low,1,10
S000036,U0159,686224.0,229161.37,moderate,70870.03,buy,SZSE,194433,2026-01-05 11:02:00,37,3700,44.3566,164119.42,0.2839,-0.225833,0.225833,17271.01,0.078818,0.23916304,0.10327536,0.34243841,0.21423183,1,1,1,high,1,11
S000037,U0184,970579.0,73725.92,moderate,142121.61,buy,SZSE,259456,2026-01-05 10:27:00,25,2500,21.9388,54847.0,0.16013,0.005971,0.005971,73260.68,0.04917,0.05650957,0.14642972,0.20293929,0.03412472,0,0,0,low,1,10
S000038,U0039,411646.0,179594.64,conservative,22790.48,buy,SZSE,232179,2026-01-05 09:50:00,22,2200,61.888,136153.6,0.28181,0.02213,0.02213,17884.98,0.101331,0.33075409,0.05536427,0.38611836,0.12300825,1,0,1,medium_high,0,9
S000039,U0078,1628610.0,338913.64,conservative,17893.76,buy,SZSE,882099,2026-01-05 10:43:00,35,3500,66.9309,234258.15,0.243047,0.112762,0.112762,115351.49,0.036641,0.14383932,0.01098714,0.15482646,0.03034204,0,0,0,low,0,10
S000040,U0092,1840761.0,334477.43,moderate,87077.15,buy,SZSE,432977,2026-01-05 12:20:00,90,9000,31.9369,287432.1,0.265477,0.095818,0.095818,126591.25,0.105639,0.15614852,0.04730497,0.20345349,0.07109496,0,0,0,low,1,12
S000041,U0001,1472110.0,143946.82,conservative,95747.59,buy,SZSE,259783,2026-01-05 11:36:00,46,4600,28.8547,132731.62,0.160541,0.138591,0.138591,66055.4,0.034358,0.0901642,0.06504105,0.15520525,0.06963852,0,0,0,low,0,11
S000042,U0026,749583.0,58244.26,moderate,38086.83,buy,SZSE,820848,2026-01-05 11:28:00,13,1300,29.8952,38863.76,0.133902,0.263524,0.263524,6190.31,0.03991,0.05184717,0.05081069,0.10265787,0.21000557,0,1,1,medium_high,1,11
S000043,U0080,863065.0,188658.29,aggressive,45505.99,buy,SZSE,843657,2026-01-05 10:45:00,24,2400,62.5864,150207.36,0.55468,-0.006902,0.006902,202335.84,0.109636,0.17403945,0.05272603,0.22676548,0.01186147,0,1,0,medium,2,10
S000044,U0025,1160727.0,403567.33,moderate,19568.54,buy,SZSE,845324,2026-01-05 10:03:00,217,21700,18.4098,399492.66,0.245416,-0.140167,0.140167,89440.66,0.045484,0.34417452,0.01685887,0.36103339,0.24261897,1,0,1,medium_high,1,10
S000045,U0128,1416274.0,192420.46,conservative,99252.69,buy,SZSE,416972,2026-01-05 12:09:00,24,2400,59.9435,143864.4,0.344049,-0.104993,0.104993,72058.92,0.075845,0.1015795,0.07008015,0.17165964,0.03330608,0,0,0,low,0,12
S000046,U0146,1136492.0,185439.55,moderate,132090.85,buy,SZSE,589413,2026-01-05 11:34:00,51,5100,25.8223,131693.73,0.164295,0.24772,0.24772,231148.9,0.06257,0.11587739,0.11622682,0.23210422,0.0220637,0,1,0,medium,1,11
S000047,U0144,1822972.0,488060.12,moderate,27718.91,buy,SZSE,255665,2026-01-05 10:34:00,77,7700,55.3745,426383.65,0.340183,-0.011766,0.011766,106063.28,0.033113,0.23389479,0.01520534,0.24910013,0.07259817,0,0,0,low,1,10
S000048,U0015,703306.0,388485.98,conservative,1998.58,buy,SZSE,942895,2026-01-05 12:28:00,75,7500,35.7549,268161.75,0.172853,-0.011236,0.011236,84626.17,0.046915,0.38128745,0.0028417,0.38412914,0.08862507,1,0,0,medium,0,12
S000049,U0150,1303510.0,39932.26,moderate,157084.2,buy,SZSE,426160,2026-01-05 11:41:00,7,700,41.8546,29298.22,0.342579,-0.055607,0.055607,2636.36,0.081225,0.02247641,0.12050863,0.14298503,0.26551771,0,0,1,medium,1,11
S000050,U0178,1286902.0,437203.89,conservative,11803.21,buy,SZSE,800679,2026-01-05 09:56:00,66,6600,54.8552,362044.32,0.264025,0.0963,0.0963,180378.64,0.086823,0.28133014,0.0091718,0.29050194,0.0365897,1,0,0,medium,0,9
S000051,U0024,208804.0,5623.56,conservative,15729.96,buy,SZSE,737440,2026-01-05 11:04:00,1,100,44.91,4491.0,0.334347,-0.101736,0.101736,1484.39,0.06684,0.02150821,0.07533359,0.0968418,0.06736764,0,0,0,low,0,11
S000052,U0056,856667.0,89365.29,conservative,52968.13,buy,SZSE,058823,2026-01-05 09:37:00,21,2100,28.9639,60824.19,0.142853,-0.141495,0.141495,204407.63,0.03919,0.07100097,0.06183047,0.13283145,0.01027359,0,0,0,low,0,9
S000053,U0141,1028447.0,27050.47,moderate,108371.49,buy,SZSE,542706,2026-01-05 11:39:00,7,700,27.0849,18959.43,0.315508,-0.117242,0.117242,4789.83,0.02193,0.01843501,0.10537392,0.12380893,0.14614284,0,0,1,medium,1,11
S000054,U0171,432445.0,112008.31,moderate,62755.87,buy,SZSE,169243,2026-01-05 09:54:00,13,1300,68.5447,89108.11,0.24157,-0.077242,0.077242,44616.88,0.100937,0.20605652,0.14511873,0.35117524,0.02913696,1,0,0,medium,1,9
S000055,U0160,1914584.0,1006553.19,aggressive,6055.54,buy,SZSE,539229,2026-01-05 10:16:00,289,28900,24.0022,693663.58,0.235945,-0.094977,0.094977,393246.07,0.053706,0.36230512,0.00316285,0.36546796,0.07349088,0,0,0,low,2,10
S000056,U0083,1352846.0,88806.9,moderate,75546.76,buy,SSE,685464,2026-01-05 10:32:00,42,4200,14.4902,60858.84,0.513452,0.138554,0.138554,182438.75,0.010409,0.04498579,0.05584284,0.10082863,0.02302143,0,1,0,medium,1,10
S000057,U0130,728759.0,264292.04,conservative,26499.8,buy,SZSE,537874,2026-01-05 11:47:00,51,5100,42.8906,218742.06,0.375689,0.068272,0.068272,85325.91,0.074088,0.30015692,0.03636292,0.33651984,0.05977083,1,1,0,medium_high,0,11
S000058,U0097,1557994.0,679417.42,moderate,84278.52,buy,SZSE,478490,2026-01-05 12:17:00,303,30300,17.5957,533149.71,0.278301,0.116642,0.116642,1326733.97,0.117602,0.34220267,0.05409425,0.39629692,0.02283804,1,0,0,medium,1,12
S000059,U0031,369997.0,69860.32,moderate,35836.89,buy,SZSE,352571,2026-01-05 11:23:00,28,2800,21.7834,60993.52,0.21565,-0.141509,0.141509,10521.93,0.00327,0.16484869,0.09685724,0.26170593,0.26611097,0,0,1,medium,1,11
S000060,U0109,1607908.0,282773.55,conservative,52206.6,buy,SZSE,941586,2026-01-05 12:06:00,43,4300,63.2294,271886.42,0.158361,0.049263,0.049263,47682.15,0.057213,0.16909327,0.03246865,0.20156192,0.0901805,1,0,0,medium,0,12
S000061,U0032,1657377.0,182968.85,moderate,10732.68,buy,SSE,660729,2026-01-05 10:43:00,50,5000,36.2026,181013.0,0.50265,0.0209,0.0209,58004.61,0.027615,0.10921655,0.0064757,0.11569226,0.08620004,0,1,0,medium,1,10
S000062,U0134,740829.0,298960.28,moderate,89388.83,buy,SZSE,830189,2026-01-05 12:24:00,73,7300,32.5772,237813.56,0.54699,-0.186654,0.186654,124147.7,0.045522,0.32101006,0.12066054,0.4416706,0.05880093,1,1,0,medium_high,1,12
S000063,U0121,588027.0,28175.46,aggressive,74333.18,buy,SZSE,820854,2026-01-05 10:42:00,14,1400,18.0951,25333.14,0.114424,-0.016224,0.016224,81090.06,0.093891,0.04308159,0.12641118,0.16949277,0.01726475,0,0,0,low,2,10
S000064,U0096,1773803.0,399706.18,conservative,163495.38,buy,SZSE,718622,2026-01-05 12:25:00,54,5400,52.5315,283670.1,0.166983,-0.204647,0.204647,80266.9,0.035263,0.15992199,0.09217223,0.25209422,0.06727555,1,1,0,medium_high,0,12
S000065,U0119,1061882.0,491495.92,moderate,50734.32,buy,SZSE,581561,2026-01-05 12:26:00,99,9900,47.5952,471192.48,0.282576,-0.030942,0.030942,55368.37,0.107181,0.44373337,0.04777774,0.49151111,0.17880244,1,0,1,medium_high,1,12
S000066,U0028,1683789.0,262722.28,aggressive,143882.7,buy,SZSE,521136,2026-01-05 11:16:00,33,3300,54.9358,181288.14,0.37679,-0.112236,0.112236,14039.24,0.017882,0.10766678,0.08545174,0.19311852,0.23505539,0,1,1,medium_high,2,11
S000067,U0114,518520.0,224457.51,moderate,42541.4,buy,SZSE,897606,2026-01-05 10:05:00,219,21900,8.8173,193098.87,0.139133,-0.03436,0.03436,597235.65,0.118015,0.3724039,0.08204389,0.45444779,0.03666894,1,0,0,medium,1,10
S000068,U0080,1262486.0,889146.52,aggressive,55817.38,buy,SZSE,248987,2026-01-05 09:59:00,936,93600,6.5799,615878.64,0.229903,-0.014066,0.014066,1479756.33,0.044785,0.48783007,0.04421227,0.53204235,0.06325366,1,0,0,medium,2,9
S000069,U0163,907372.0,308739.79,aggressive,47188.14,buy,SZSE,259382,2026-01-05 11:11:00,54,5400,49.0675,264964.5,0.117379,0.128124,0.128124,29006.54,0.009691,0.29201309,0.05200529,0.34401837,0.18616493,0,0,1,medium,2,11
S000070,U0057,812625.0,442973.67,aggressive,1338.58,buy,SZSE,343462,2026-01-05 09:52:00,133,13300,31.2719,415916.27,0.277177,-0.124969,0.124969,147123.95,0.078199,0.51181821,0.00164722,0.51346543,0.09039996,1,0,0,medium,2,9
S000071,U0049,989632.0,216616.74,moderate,112894.01,buy,SZSE,442293,2026-01-05 12:09:00,24,2400,65.0417,156100.08,0.304844,0.075645,0.075645,13342.15,0.079707,0.15773548,0.11407676,0.27181224,0.17988106,0,0,1,medium,1,12
S000072,U0034,1752851.0,492989.79,aggressive,89409.49,buy,SZSE,925964,2026-01-05 11:31:00,72,7200,59.8236,430729.92,0.123242,-0.24251,0.24251,103330.28,0.107443,0.24573105,0.05100804,0.29673909,0.06967948,0,1,0,medium,2,11
S000073,U0003,364185.0,119139.22,conservative,26322.93,buy,SZSE,383541,2026-01-05 12:05:00,23,2300,49.4963,113841.49,0.277687,0.132431,0.132431,57673.54,0.101222,0.31259247,0.07227901,0.38487148,0.03987964,1,0,0,medium,0,12
S000074,U0051,1563269.0,497983.83,conservative,16801.21,buy,SZSE,016934,2026-01-05 10:57:00,66,6600,59.4622,392450.52,0.214365,0.046664,0.046664,118737.57,0.011687,0.25104478,0.01074748,0.26179226,0.05558477,1,0,0,medium,0,10
S000075,U0198,235366.0,18936.79,moderate,25501.89,buy,SZSE,011400,2026-01-05 09:49:00,2,200,68.9546,13790.92,0.331804,-0.152719,0.152719,11126.34,0.029637,0.05859351,0.10834993,0.16694344,0.01797536,0,1,0,medium,1,9
S000076,U0072,1336372.0,411249.38,moderate,53138.98,buy,SZSE,986156,2026-01-05 11:17:00,105,10500,31.4876,330619.8,0.276856,0.081143,0.081143,225230.03,0.05612,0.24740102,0.03976361,0.28716463,0.046619,0,0,0,low,1,11
S000077,U0055,1741512.0,424016.79,moderate,225719.92,buy,SZSE,277953,2026-01-05 09:31:00,91,9100,43.64,397124.0,0.457364,0.009213,0.009213,155624.15,0.095954,0.22803403,0.12961146,0.35764549,0.05847421,1,1,0,medium_high,1,9
S000078,U0053,1850660.0,719172.23,conservative,184576.53,buy,SZSE,180047,2026-01-05 11:07:00,136,13600,41.7843,568266.48,0.128234,0.027272,0.027272,233854.95,0.044275,0.30706152,0.09973552,0.40679704,0.05815571,1,0,0,medium,0,11
S000079,U0089,1768169.0,277655.55,conservative,164557.15,buy,SZSE,172285,2026-01-05 11:34:00,237,23700,9.0457,214383.09,0.413267,-0.030286,0.030286,144034.25,0.068452,0.12124581,0.09306642,0.21431223,0.1645442,1,1,1,high,0,11
S000080,U0101,494695.0,172858.75,aggressive,64629.14,buy,SZSE,164327,2026-01-05 09:31:00,65,6500,23.6549,153756.85,0.173846,0.113369,0.113369,24968.81,0.069865,0.31081141,0.13064442,0.44145582,0.26032482,1,0,1,medium_high,2,9
S000081,U0114,1088127.0,622661.56,moderate,52817.21,buy,SZSE,575660,2026-01-05 11:18:00,91,9100,56.6796,515784.36,0.167706,0.047913,0.047913,307427.35,0.014015,0.47401118,0.04853957,0.52255075,0.02960049,1,0,0,medium,1,11
S000082,U0155,1850007.0,1071016.2,moderate,30584.69,buy,SZSE,827300,2026-01-05 10:59:00,716,71600,13.3949,959074.84,0.263837,-0.01277,0.01277,837723.45,0.074956,0.51841687,0.0165322,0.53494907,0.08546973,1,0,0,medium,1,10
S000083,U0053,678505.0,168792.55,aggressive,1123.37,buy,SZSE,846455,2026-01-05 09:44:00,31,3100,48.4998,150349.38,0.157813,-0.012909,0.012909,37685.54,0.01463,0.2215892,0.00165566,0.22324485,0.08225967,0,0,0,low,2,9
S000084,U0082,1621829.0,403700.84,aggressive,184940.27,buy,SZSE,936412,2026-01-05 11:12:00,82,8200,33.8582,277637.24,0.252085,0.031114,0.031114,198527.5,0.100474,0.17118774,0.11403192,0.28521966,0.0413041,0,0,0,low,2,11
S000085,U0182,1366218.0,117722.85,moderate,169353.32,buy,SSE,610757,2026-01-05 09:54:00,24,2400,44.6298,107111.52,0.124967,-0.107795,0.107795,120155.75,0.077805,0.07840002,0.12395776,0.20235778,0.01997408,0,0,0,low,1,9
S000086,U0193,247432.0,13706.83,moderate,39569.09,buy,SZSE,593672,2026-01-05 11:08:00,4,400,28.6017,11440.68,0.204252,-0.059113,0.059113,15414.18,0.052286,0.04623767,0.15991907,0.20615674,0.02595014,0,0,0,low,1,11
S000087,U0058,1854144.0,1025183.51,conservative,17194.1,buy,SZSE,712910,2026-01-05 12:16:00,358,35800,20.8962,748083.96,0.242364,-0.096465,0.096465,172878.39,0.096139,0.40346594,0.00927333,0.41273928,0.20708199,1,0,1,medium_high,0,12
S000088,U0103,1505770.0,355611.21,conservative,37171.8,buy,SZSE,054487,2026-01-05 11:16:00,89,8900,33.0479,294126.31,0.315702,-0.026246,0.026246,32569.0,0.098151,0.19533283,0.02468624,0.22001906,0.27326598,1,0,1,medium_high,0,11
S000089,U0077,1919776.0,278652.15,moderate,277852.52,buy,SZSE,177740,2026-01-05 09:41:00,64,6400,36.9782,236660.48,0.167111,-0.204539,0.204539,1077355.37,0.071401,0.12327505,0.14473174,0.26800679,0.00594047,0,1,0,medium,1,9
S000090,U0049,1459966.0,82585.64,conservative,113745.21,buy,SZSE,578798,2026-01-05 12:09:00,18,1800,35.146,63262.8,0.20462,0.192169,0.192169,25349.96,0.104275,0.04333169,0.07790949,0.12124118,0.07100602,0,1,0,medium,0,12
S000091,U0034,1648384.0,140608.95,conservative,39862.23,buy,SZSE,987311,2026-01-05 11:28:00,80,8000,15.9111,127288.8,0.222925,-0.082095,0.082095,30337.96,0.069513,0.07722036,0.02418261,0.10140297,0.26369607,0,0,1,medium,0,11
S000092,U0054,429026.0,109426.51,moderate,70184.53,buy,SZSE,015338,2026-01-05 09:48:00,23,2300,39.6944,91297.12,0.294499,-0.140681,0.140681,50326.68,0.086905,0.2128009,0.16359039,0.3763913,0.04570141,1,0,0,medium,1,9
S000093,U0096,1873130.0,1030074.06,aggressive,21858.25,buy,SZSE,049472,2026-01-05 09:53:00,325,32500,23.7647,772352.75,0.36684,0.058916,0.058916,1721456.29,0.038918,0.4123327,0.01166937,0.42400207,0.01887936,1,1,0,medium_high,2,9
S000094,U0040,1200053.0,411074.38,aggressive,34805.82,buy,SZSE,179909,2026-01-05 10:30:00,73,7300,37.806,275983.8,0.320204,-0.079047,0.079047,124633.49,0.07302,0.22997634,0.02900357,0.25897991,0.05857174,0,0,0,low,2,10
S000095,U0193,602504.0,275520.33,moderate,85477.18,buy,SZSE,714506,2026-01-05 10:03:00,139,13900,16.1637,224675.43,0.62219,-0.013731,0.013731,542634.76,0.075721,0.3729028,0.1418699,0.51477271,0.02561576,1,1,0,medium_high,1,10
S000096,U0021,1614230.0,106740.6,conservative,82991.09,buy,SZSE,199472,2026-01-05 10:26:00,113,11300,7.8737,88972.81,0.637115,-0.174151,0.174151,132200.88,0.102796,0.0551178,0.05141218,0.10652999,0.08547598,0,1,0,medium,0,10
S000097,U0023,1960108.0,556848.38,aggressive,142021.08,buy,SSE,602370,2026-01-05 12:22:00,402,40200,11.2751,453259.02,0.541499,-0.111041,0.111041,1791399.33,0.070263,0.23124186,0.07245574,0.3036976,0.02244056,0,1,0,medium,2,12
S000098,U0053,1187857.0,288898.29,moderate,50285.05,buy,SZSE,327435,2026-01-05 10:23:00,84,8400,29.6098,248722.32,0.111964,0.008815,0.008815,482929.48,0.10566,0.20938743,0.04233258,0.25172,0.01739384,0,0,0,low,1,10
S000099,U0149,1843156.0,160997.59,conservative,107467.49,buy,SZSE,562567,2026-01-05 11:22:00,55,5500,19.7797,108788.35,0.121463,-0.045137,0.045137,32963.21,0.102134,0.05902287,0.05830624,0.1173291,0.16685269,0,0,1,medium,0,11
S000100,U0173,700667.0,160760.36,conservative,47704.66,buy,SZSE,834098,2026-01-05 10:25:00,44,4400,28.7829,126644.76,0.261826,0.038684,0.038684,59606.3,0.119388,0.18074886,0.06808463,0.24883349,0.0738177,1,0,0,medium,0,10
S000101,U0012,1311564.0,640932.36,moderate,18871.16,buy,SSE,602291,2026-01-05 11:08:00,114,11400,53.2646,607216.44,0.324309,-0.125302,0.125302,42814.94,0.093208,0.46297126,0.01438829,0.47735955,0.2662622,1,0,1,medium_high,1,11
S000102,U0004,1825843.0,36057.62,moderate,282134.66,buy,SZSE,938991,2026-01-05 09:39:00,4,400,67.8122,27124.88,0.322631,0.059954,0.059954,2398.45,0.053594,0.01485609,0.15452296,0.16937904,0.16677425,0,0,1,medium,1,9
S000103,U0173,1529762.0,86098.76,conservative,131190.83,buy,SZSE,282394,2026-01-05 11:51:00,16,1600,50.8175,81308.0,0.164546,-0.09088,0.09088,27369.3,0.097558,0.05315075,0.08575898,0.13890973,0.05845967,0,0,0,low,0,11
S000104,U0073,1357022.0,585035.8,moderate,66286.5,buy,SZSE,082876,2026-01-05 09:52:00,109,10900,52.5735,573051.15,0.263986,-0.15491,0.15491,134500.76,0.049465,0.42228582,0.04884703,0.47113285,0.08104044,1,1,0,medium_high,1,9
S000105,U0054,470046.0,95536.86,aggressive,30612.11,buy,SZSE,129145,2026-01-05 11:10:00,12,1200,60.47,72564.0,0.261563,0.117879,0.117879,20846.18,0.045546,0.15437638,0.06512578,0.21950216,0.05756451,0,0,0,low,2,11
