sample_id,estimated_amount_ratio,holding_ratio_after_trade,current_position_ratio,risk_preference_code,volatility_20d,abs_return_5d,turnover_rate,trade_volume_to_avg_volume,concentration_risk,volatility_risk,liquidity_risk
S000106,0.18257613,0.19066508,0.00808895,0,0.255137,0.008325,0.084347,0.06100843,0,0,0
S000107,0.05351596,0.16234711,0.10883114,0,0.242268,0.204941,0.054274,0.04664448,0,1,0
S000108,0.25714376,0.41425247,0.15710871,1,0.309199,0.019182,0.029314,0.09425185,1,0,0
S000109,0.18205234,0.19274471,0.01069237,0,0.297933,0.058205,0.04225,0.01926806,0,0,0
S000110,0.37078461,0.54073659,0.16995198,2,0.447706,0.117317,0.067155,0.03068955,1,1,0
S000111,0.30375509,0.41512079,0.1113657,1,0.640598,0.178635,0.07244,0.01068319,1,1,0
S000112,0.16279795,0.29220667,0.12940872,1,0.190737,0.021732,0.014215,0.00625927,0,0,0
S000113,0.33094271,0.34682086,0.01587815,1,0.333905,0.20468,0.029474,0.12069427,1,1,1
S000114,0.17106771,0.1781078,0.0070401,0,0.158896,0.262131,0.020041,0.09284279,0,1,0
S000115,0.25183841,0.29292392,0.04108551,2,0.635659,0.189657,0.014535,0.03320523,0,1,0
S000116,0.13559178,0.21318426,0.07759247,0,0.336709,0.081349,0.08623,0.07783523,1,0,0
S000117,0.43898527,0.53723165,0.09824638,2,0.158953,0.109261,0.076928,0.1007135,1,0,1
S000118,0.39429364,0.47555756,0.08126392,2,0.507993,0.214677,0.035987,0.08208441,1,1,0
S000119,0.07149122,0.13376377,0.06227255,1,0.51866,0.169915,0.068695,0.2770757,0,1,1
S000120,0.47034155,0.52255813,0.05221658,1,0.287347,0.199941,0.112323,0.09487389,1,1,0
S000121,0.1714168,0.26840418,0.09698738,0,0.534963,0.091826,0.10996,0.03259815,1,1,0
S000122,0.19608401,0.34281551,0.1467315,1,0.175507,0.06882,0.107902,0.02363652,1,0,0
S000123,0.16184185,0.20662353,0.04478168,1,0.338515,0.106001,0.037845,0.06449284,0,0,0
S000124,0.1479891,0.25296149,0.10497239,1,0.218402,0.001006,0.11074,0.02406171,0,0,0
S000125,0.11332431,0.12674508,0.01342077,0,0.293933,0.210578,0.101091,0.08251186,0,1,0
S000126,0.36935377,0.45251867,0.0831649,1,0.163369,0.020194,0.051954,0.03489293,1,0,0
S000127,0.09226993,0.1065035,0.01423357,1,0.300727,0.151396,0.105426,0.21265098,0,1,1
S000128,0.25035495,0.40834423,0.15798928,1,0.422859,0.21195,0.075136,0.03541899,1,1,0
S000129,0.0567259,0.05812758,0.00140169,2,0.645467,0.019131,0.101841,0.01476941,0,1,0
S000130,0.14999048,0.322018,0.17202752,2,0.31262,0.242914,0.045879,0.02994541,0,1,0
S000131,0.3535114,0.35503777,0.00152637,0,0.157799,0.01608,0.017162,0.00555389,1,0,0
S000132,0.52613005,0.53391165,0.0077816,1,0.28016,0.118333,0.05534,0.06861752,1,0,0
S000133,0.2299076,0.27581227,0.04590466,2,0.294025,0.188156,0.030091,0.22801528,0,1,1
S000134,0.30010003,0.47773281,0.17763277,2,0.109138,0.071498,0.045331,0.21831227,1,0,1
S000135,0.52650791,0.57902772,0.05251981,2,0.112647,0.085915,0.099682,0.0921339,1,0,0
S000136,0.39967497,0.48629595,0.08662098,1,0.104396,0.079832,0.017706,0.20447792,1,0,1
S000137,0.34518936,0.41731282,0.07212346,1,0.229617,0.045975,0.034251,0.06891543,1,0,0
S000138,0.03780479,0.17782302,0.14001823,1,0.284356,0.092728,0.101964,0.06938671,0,0,0
S000139,0.14861686,0.15044011,0.00182326,1,0.296349,0.017612,0.017912,0.04134026,0,0,0
S000140,0.11309643,0.11675046,0.00365403,1,0.384434,0.002459,0.094939,0.29605977,0,1,1
S000141,0.03914883,0.07554281,0.03639397,0,0.171516,0.003503,0.033981,0.19383913,0,0,1
S000142,0.12803692,0.14193535,0.01389843,0,0.222302,0.034496,0.110087,0.02691318,0,0,0
S000143,0.03288577,0.19912344,0.16623767,2,0.604724,0.047235,0.030513,0.18409182,0,1,1
S000144,0.23993417,0.24400421,0.00407004,1,0.324562,0.130115,0.107186,0.06317896,0,0,0
S000145,0.37781294,0.53982014,0.1620072,1,0.630659,0.218349,0.066676,0.10043619,1,1,1
S000146,0.28106798,0.36060221,0.07953423,2,0.304041,0.229286,0.087016,0.06591418,0,1,0
S000147,0.30720165,0.45738103,0.15017938,1,0.111146,0.122862,0.087093,0.0098519,1,0,0
S000148,0.10364336,0.13321582,0.02957246,1,0.113539,0.083253,0.078958,0.19145696,0,0,1
S000149,0.19094502,0.27436753,0.0834225,1,0.284781,0.022592,0.108106,0.0137539,0,0,0
S000150,0.06187064,0.1676,0.10572936,0,0.135885,0.025567,0.119522,0.03637144,0,0,0
S000151,0.21132341,0.24437753,0.03305411,0,0.122042,0.084518,0.119916,0.06400183,1,0,0
S000152,0.28319375,0.4143988,0.13120505,1,0.188461,0.223429,0.003002,0.03622558,1,1,0
S000153,0.04344157,0.10635502,0.06291345,0,0.250172,0.185737,0.040969,0.02619081,0,1,0
S000154,0.06357128,0.16079931,0.09722803,0,0.185725,0.084331,0.02699,0.17212278,0,0,1
S000155,0.13866624,0.30545381,0.16678757,2,0.131241,0.055344,0.039798,0.07534102,0,0,0
S000156,0.032863,0.12021448,0.08735149,0,0.160181,0.12994,0.096198,0.08236858,0,0,0
S000157,0.04077103,0.14928364,0.10851261,1,0.21727,0.0961,0.088948,0.08230274,0,0,0
S000158,0.28227416,0.34502156,0.0627474,1,0.135433,0.073251,0.041247,0.0236415,1,0,0
S000159,0.01016238,0.11346308,0.1033007,0,0.337454,0.268329,0.071602,0.02180714,0,1,0
S000160,0.24252822,0.31867024,0.07614202,2,0.230314,0.069649,0.074198,0.07093676,0,0,0
S000161,0.02411943,0.10294935,0.07882993,0,0.228254,0.138022,0.008386,0.0895752,0,0,0
S000162,0.13318092,0.20698,0.07379907,0,0.361841,0.200145,0.020754,0.06679984,1,1,0
S000163,0.28983014,0.41426864,0.1244385,1,0.211648,0.006749,0.012261,0.08748924,1,0,0
S000164,0.41848399,0.4782775,0.05979351,2,0.201125,0.092554,0.075688,0.06649763,1,0,0
S000165,0.15535596,0.17825554,0.02289958,1,0.560859,0.081719,0.011404,0.11269625,0,1,1
S000166,0.15674689,0.28302796,0.12628107,1,0.509843,0.162808,0.114492,0.08580094,0,1,0
S000167,0.38969946,0.53176957,0.1420701,2,0.12156,0.048792,0.101381,0.09358441,1,0,0
S000168,0.04607743,0.04898195,0.00290453,1,0.231552,0.11717,0.114173,0.0784871,0,0,0
S000169,0.2563963,0.38415374,0.12775745,1,0.127119,0.085059,0.053246,0.11032121,1,0,1
S000170,0.3813805,0.44482185,0.06344136,2,0.265254,0.126193,0.020693,0.02094146,1,0,0
S000171,0.01379394,0.0339051,0.02011116,1,0.230233,0.119928,0.010214,0.19277286,0,0,1
S000172,0.41175099,0.454322,0.04257101,1,0.172174,0.015257,0.019336,0.29939805,1,0,1
S000173,0.42354287,0.45668592,0.03314304,2,0.196752,0.053653,0.009124,0.04647955,1,0,0
S000174,0.05019291,0.13633461,0.08614171,0,0.488053,0.179184,0.015929,0.14217165,0,1,1
S000175,0.04523928,0.1968018,0.15156252,1,0.274618,0.080216,0.05294,0.01322063,0,0,0
S000176,0.10607851,0.1730606,0.06698209,0,0.243236,0.054048,0.033305,0.07485108,0,0,0
S000177,0.0300456,0.17333692,0.14329132,1,0.198873,0.273451,0.074929,0.21565899,0,1,1
S000178,0.03095811,0.18044557,0.14948746,1,0.34177,0.016209,0.074269,0.05834113,0,0,0
S000179,0.04888241,0.08180431,0.0329219,2,0.2255,0.250417,0.078503,0.0542931,0,1,0
S000180,0.09340057,0.13299484,0.03959427,1,0.106174,0.111053,0.060701,0.01180665,0,0,0
S000181,0.09811761,0.2341142,0.13599659,1,0.106873,0.025353,0.083404,0.01908801,0,0,0
S000182,0.07862811,0.08933502,0.01070692,1,0.465892,0.062746,0.014652,0.0050126,0,1,0
S000183,0.18655885,0.27341462,0.08685576,1,0.130902,0.012971,0.100765,0.04505259,0,0,0
S000184,0.04155938,0.09232306,0.05076368,0,0.330298,0.029557,0.094218,0.09212423,0,0,0
S000185,0.17574902,0.29598493,0.1202359,2,0.213392,0.136072,0.027308,0.05247728,0,0,0
S000186,0.06639246,0.13938318,0.07299073,0,0.337252,0.015571,0.086054,0.04018814,0,0,0
S000187,0.18169569,0.22845568,0.04676,1,0.124167,0.029519,0.089473,0.01798815,0,0,0
S000188,0.41165342,0.50723819,0.09558477,1,0.260624,0.13086,0.02216,0.04513762,1,0,0
S000189,0.04758847,0.06128752,0.01369906,0,0.206136,0.109198,0.040986,0.18739636,0,0,1
S000190,0.01189942,0.09787948,0.08598007,0,0.335239,0.113908,0.067202,0.05596318,0,0,0
S000191,0.18287085,0.25513467,0.07226383,1,0.495593,0.102738,0.03967,0.07082237,0,1,0
S000192,0.12983964,0.22674934,0.0969097,1,0.20916,0.13296,0.073278,0.09426296,0,0,0
S000193,0.31541907,0.48317579,0.16775672,2,0.104311,0.025083,0.102415,0.07338073,1,0,0
S000194,0.06089729,0.21625366,0.15535637,1,0.270868,0.022993,0.10293,0.06598088,0,0,0
S000195,0.13011091,0.23105458,0.10094367,1,0.206342,0.122699,0.064854,0.02387854,0,0,0
S000196,0.05225876,0.1304258,0.07816703,0,0.521116,0.056795,0.074447,0.03207809,0,1,0
S000197,0.09725701,0.12377662,0.02651961,0,0.50829,0.069885,0.038164,0.03907462,0,1,0
S000198,0.29258117,0.36872479,0.07614362,2,0.580331,0.056125,0.029414,0.06899688,0,1,0
S000199,0.54099758,0.55693667,0.01593909,2,0.131149,0.063975,0.036947,0.08073324,1,0,0
S000200,0.04800916,0.18632876,0.13831959,1,0.151188,0.030729,0.111415,0.0095241,0,0,0
S000201,0.10961507,0.22106151,0.11144644,1,0.181101,0.057498,0.074643,0.02563494,0,0,0
S000202,0.04694421,0.15728285,0.11033864,1,0.592813,0.189484,0.048412,0.06033382,0,1,0
S000203,0.27046353,0.36716472,0.09670119,1,0.149618,0.055434,0.037523,0.0327627,1,0,0
S000204,0.21583869,0.22394306,0.00810438,0,0.223297,0.090403,0.066397,0.04085478,1,0,0
S000205,0.04658548,0.17514825,0.12856276,1,0.229777,0.075504,0.046452,0.09363179,0,0,0
S000206,0.05280817,0.068701,0.01589284,1,0.260125,0.028359,0.08696,0.02661364,0,0,0
S000207,0.41471224,0.43107015,0.01635791,1,0.323261,0.077386,0.050799,0.07091536,1,0,0
S000208,0.19548565,0.21626413,0.02077848,1,0.236581,0.276863,0.061395,0.04840754,0,1,0
S000209,0.065818,0.17514128,0.10932328,0,0.217536,0.084716,0.015016,0.17983475,0,0,1
S000210,0.09770413,0.10706257,0.00935844,1,0.523573,0.110444,0.094109,0.0316187,0,1,0
S000211,0.43035116,0.54907476,0.1187236,1,0.10758,0.092297,0.095491,0.0223331,1,0,0
S000212,0.17884697,0.33988106,0.16103409,1,0.249013,0.235456,0.002381,0.06584014,1,1,0
S000213,0.06082944,0.11186576,0.05103632,0,0.180007,0.101723,0.09748,0.07735255,0,0,0
S000214,0.05215776,0.12072374,0.06856598,1,0.252073,0.275251,0.077843,0.05071964,0,1,0
S000215,0.04979658,0.09449922,0.04470264,0,0.22134,0.108543,0.118989,0.17466499,0,0,1
S000216,0.02259497,0.03306847,0.0104735,0,0.414478,0.124918,0.035957,0.07429206,0,1,0
S000217,0.1560329,0.230872,0.07483909,2,0.566818,0.21697,0.034397,0.07719388,0,1,0
S000218,0.24038965,0.25439927,0.01400962,1,0.234416,0.214436,0.08011,0.29545335,0,1,1
S000219,0.43241921,0.46149916,0.02907995,1,0.138411,0.08632,0.027631,0.05223002,1,0,0
S000220,0.07699031,0.16816357,0.09117325,1,0.147899,0.133471,0.116242,0.00527843,0,0,0
S000221,0.28900936,0.30970607,0.02069671,2,0.159977,0.134123,0.106993,0.07338914,0,0,0
S000222,0.43208245,0.55093195,0.1188495,2,0.106597,0.012639,0.040924,0.0680123,1,0,0
S000223,0.62013001,0.6210977,0.00096768,2,0.335245,0.275071,0.059621,0.0253737,1,1,0
S000224,0.09062836,0.24287349,0.15224514,2,0.185434,0.211085,0.105322,0.01385839,0,1,0
S000225,0.09511198,0.16854987,0.07343788,0,0.491855,0.146322,0.080705,0.0101161,0,1,0
S000226,0.07364032,0.09496886,0.02132854,1,0.32246,0.005122,0.049011,0.01667424,0,0,0
S000227,0.20521784,0.26389,0.05867217,0,0.15014,0.032294,0.050902,0.02340732,1,0,0
S000228,0.08619458,0.22276613,0.13657155,1,0.395092,0.018844,0.056051,0.03703157,0,1,0
S000229,0.06658635,0.2223719,0.15578556,1,0.210172,0.138702,0.002087,0.06636594,0,0,0
S000230,0.14018184,0.18073283,0.04055099,0,0.268157,0.066049,0.040852,0.05437414,0,0,0
S000231,0.30819586,0.34695546,0.03875961,1,0.333205,0.192996,0.066049,0.01887229,1,1,0
S000232,0.19180716,0.30034268,0.10853551,0,0.169036,0.022735,0.042419,0.08904534,1,0,0
S000233,0.26727767,0.27227949,0.00500182,1,0.210905,0.21406,0.100775,0.12348499,0,1,1
S000234,0.30331222,0.44607704,0.14276482,2,0.354198,0.115807,0.07449,0.01595717,1,1,0
S000235,0.26031735,0.33927579,0.07895844,2,0.322871,0.144638,0.056686,0.02827098,0,0,0
S000236,0.10355703,0.17650573,0.0729487,0,0.122958,0.031842,0.030679,0.02126211,0,0,0
S000237,0.13394049,0.27160005,0.13765956,2,0.479659,0.072054,0.010403,0.06367847,0,1,0
S000238,0.20547632,0.28406182,0.0785855,1,0.172042,0.116851,0.01367,0.03610059,0,0,0
S000239,0.01467716,0.09614105,0.08146389,1,0.105219,0.097192,0.119001,0.09146027,0,0,0
S000240,0.60635559,0.61249189,0.0061363,2,0.298735,0.144894,0.017894,0.02990478,1,0,0
S000241,0.16552623,0.24067053,0.0751443,0,0.152568,0.092857,0.107482,0.21134654,1,0,1
S000242,0.04034279,0.10408281,0.06374002,1,0.173422,0.043277,0.045013,0.15072741,0,0,1
S000243,0.33305103,0.45162383,0.1185728,1,0.188961,0.164158,0.069077,0.29860502,1,1,1
S000244,0.05884125,0.12526691,0.06642567,0,0.222899,0.023255,0.005224,0.05443372,0,0,0
S000245,0.18759329,0.26911909,0.0815258,1,0.124649,0.102892,0.098755,0.07484094,0,0,0
S000246,0.02485632,0.15267569,0.12781937,2,0.149177,0.135203,0.022246,0.23229473,0,0,1
S000247,0.02828689,0.19148576,0.16319888,1,0.118243,0.028102,0.051881,0.04310432,0,0,0
S000248,0.02280354,0.08001218,0.05720864,2,0.619025,0.039621,0.087105,0.04281025,0,1,0
S000249,0.12136585,0.16828361,0.04691776,0,0.128906,0.019501,0.063237,0.0194229,0,0,0
S000250,0.12438026,0.1975544,0.07317414,1,0.332419,0.0512,0.084411,0.04774587,0,0,0
S000251,0.3564794,0.47725595,0.12077654,1,0.117135,0.107209,0.068646,0.089232,1,0,0
S000252,0.09253832,0.10535483,0.01281651,1,0.51601,0.088868,0.004623,0.23028601,0,1,1
S000253,0.1200894,0.24557407,0.12548467,1,0.304282,0.05673,0.026591,0.2290385,0,0,1
S000254,0.24236273,0.33428594,0.09192321,1,0.138707,0.102362,0.110405,0.03642985,1,0,0
S000255,0.03770919,0.04993921,0.01223002,1,0.272361,0.109669,0.11804,0.05829765,0,0,0
S000256,0.12702631,0.25135551,0.1243292,1,0.312274,0.008,0.004884,0.04019284,0,0,0
S000257,0.34416344,0.44135449,0.09719105,0,0.340959,0.116737,0.076695,0.0075812,1,0,0
S000258,0.25138315,0.30624474,0.05486159,1,0.239246,0.07622,0.03681,0.08446115,1,0,0
S000259,0.20285768,0.27792188,0.0750642,1,0.248394,0.244863,0.109234,0.09252668,0,1,0
S000260,0.44326259,0.54358293,0.10032034,1,0.300183,0.012688,0.078663,0.04889697,1,0,0
S000261,0.04116928,0.12673144,0.08556216,1,0.16681,0.238251,0.041278,0.0051927,0,1,0
S000262,0.07158897,0.14850056,0.07691159,0,0.180489,0.115669,0.040168,0.13383723,0,0,1
S000263,0.18344005,0.34712622,0.16368617,2,0.360921,0.134192,0.01359,0.04531425,0,1,0
S000264,0.11870243,0.19268285,0.07398041,0,0.340008,0.007975,0.026068,0.04501848,0,0,0
S000265,0.22616393,0.2888719,0.06270798,1,0.637821,0.1797,0.058308,0.01850112,0,1,0
S000266,0.39982419,0.57415042,0.17432623,2,0.202553,0.0594,0.042025,0.08789961,1,0,0
S000267,0.5503591,0.6411473,0.0907882,2,0.16127,0.205792,0.101631,0.03616179,1,1,0
S000268,0.28415852,0.31240967,0.02825115,2,0.121785,0.135097,0.00946,0.16089254,0,0,1
S000269,0.01892652,0.10830711,0.08938059,0,0.185437,0.132616,0.041507,0.01951992,0,0,0
S000270,0.14872801,0.18432721,0.03559921,0,0.203774,0.097277,0.020458,0.25212283,0,0,1
